StudNo,StudentName,Birthday,Degree,Major,UnitsEarned
2016-66733,Nelson Tejara,05/09/18,MIT,IT,25.0
2015-66734,Nelson Tejara,05/09/18,MIT,MIT,31.0
2016-66733, Nelson Tejara,2015-05-06,MS,IT,30.0
2016-66733,Nelson Tejara,05/09/18,MIT,IT,25.0
,Nelson Tejara,,,,
,Tejara,,,,
,,,,CS,
,,,CS,,
,Nelson Again,,,,
2015-55755, Dee Wye,2014-04-05,MSCS,CS,34.0
,,,,,36.0
,,,,,37.0
,,,,,38.0
,,,,,39.0
,,,,,40.0
,Gago,,,,
,,,,Dota,
,,,,,41.0
,,,,,42.0
,,,,,43.0
,,,,,44.0
,,,,,44.0
,,,,,45.0
,,,,,46.0
,Again Again,,,,
,,,,,47.0
,,,,,48.0
,,,,,48.0
,,,,,48.0
,,,,,48.0
,,,,,49.0
